SR.NO,RPID,SITE_NAME,TECHNOLOGY,3G_TECH,SITE_NAME_3G,LATITUDE,LONGITUDE,DHQ,DHQ_NAME,Mandal,ROUT,SHELTER,Mandal_Code,Address,MP_CONS,SDCA,PIN_CODE,BSNL_IP,IP_NAME,IP_ID,Tower_Type,2G_Tower_HT,2G_ Ant_HT,2G_Ant,2G_Ant_Make,2G_BTS,2G_Phase,2G_Commission,2G_Type,2G_SEC,2G_Conf,2G_Azimuth,2G_E1_NO,2G_Media,2G_OFC_E1,2G_FE_BW,2G_DMW,2G_DMW_Ant_DIA,2G_Far_end_RPID,2G_DMW_E1_FE,2G_DMW_E1_NO,2G_DMW_FE_BW,BSC,2G_MSC,3G_PH,3G_Commission,3G_Azimuth,3G_ID,3G_SEC,3G_ANT_HT,3G_ANT_TYPE,Field52,3G_MEDIA,3G_OFC_FE,3G_E1_NO,3G_FE_BW,3G_DMW,3G_DMW_DIA,3G_FAR_RPID,3G_E1_FE,Field61,3G_MSC,Field62,RNC,NSN_2G,NSN_3G,NSN_NEW_3G,NSN_4G,HUW_REDP,NSN_NEW_2G,NOR_IV5,NOR_IV,3G_HUW_FROM,3G_HUW_FROM_TYPE,DMW_SACFA,WORK_C,BW,BSC_PORT,WORK_2G,TOWN,WORK_2G1,TOWN1
76,CT2174,BSC70-30_ThungundrmUSO_CT2174B,2G+3G,HUW,102_0183_CT_ThungundrmUSO_CT2174,13.18878,79.26383,Rural,Thungundram,Gangadhara Nellore,,OD Plinth,5420.0,"Thungundram,GDNellore(M),Chittoor DT.",Chittoor,CHITTOOR,517421.0,NBSNL,BSNL Infra,CT2174,GBT,40.0,34.0,Dual,XAHT,Nortel,USO,11/25/2008,BTS18K_OD,3.0,3-3-3,85/180/270,1.0,OFC,E1,,,,,,,,60.0,Tirupati,VIII,,,RRH,,,,,OFC,,,30 Mbps,,,,,,,,102.0,,,,,CT2174,,,,BSC60-78_CTR_Estate_CT5098,RRH,,,30 Mbps,,,,,
77,CT2182,BSC70-26_Varathuru-USO_CT2182A,2G+3G,HUW,102_0184_Varathuru_USO_CT2182,13.23054,79.26392,Rural,Varathur,Gangadhara Nellore,,OD Plinth,5420.0,VARATHURUSURVEY NO: 552/1B EAST SIDE OF PACHIGUNTA ROAD AND WEST SIDE OF CHAKALAVARI G PIN-517421,Chittoor,CHITTOOR,517128.0,NBSNL,BSNL Infra,CT2182,GBT,40.0,34.0,Dual,XAHT,Nortel,USO,10/17/2008,BTS18K_OD,3.0,3-3-3,60/140/320,,DMW,,,ZTE-VIOM,0.6 m,BSC60-04_VezzupalleUSO_CT2187B,E1,1.0,,60.0,Tirupati,VIII,,,RRH,3.0,,,,DMW,,,30 Mbps,,,,,,,,102.0,,,,,CT2182,,,,BSC60-34_Anupalli_CT2092A,RRH,2015812407@G/FXW/HYD/3156699/2016@K-19012/G/FXW/HYD/2670760/2016-CFA 9-12-16,,30 Mbps,,,,,
78,CT2183,BSC70-20_Vedurukuppam_CT2183B,2G+3G,HUW,102_0175_Vedurukuppam_CT2183B,13.44093,79.31511,Rural,Vedurukuppam,Vedurukuppam,SH,Shelter,5397.0,"Vedurukuppam(V&M),Chittoor DT.",Tirupati,PUTTUR,517569.0,NBSNL,BSNL Infra,CT2183,GBT,40.0,38.0,Dual,XAHT,Nortel,IV.5,9/30/2008,BTS18K_ID,3.0,4-4-4,130/250/350,1.0,OFC,E1,,,,,,,,67.0,Tirupati,VII +,5/16/2017,130/250/350,RRH,3.0,38.0,Mono,MOBI (MB3F-65-18DE10+MBRET-RCU-003),OFC,FE,,45 Mbps,,,,,,Tiruapti,,102.0,,,,,,,,,,,,,45 Mbps,,,,,
79,CT2185,BSC68-70_Veligallu-USO_CT2185C,2G,,,13.82359,78.53911,Rural,Veligallu,Peddamandyam,,OD Plinth,5369.0,"Veligallu(V),Peddamandyam(M),Chittoor DT.",Rajampet,MADANAPALLI,517297.0,NBSNL,BSNL Infra,CT2185,GBT,40.0,34.0,Dual,XAHT,Nortel,USO,11/8/2008,BTS18K_OD,3.0,3-3-3,80/240/340,,DMW,,,OLD NEC,0.6 m,BSC68-63_Kalicherla_CT2119B,E1,1.0,,68.0,Tirupati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015813966@G/FXW/HYD/3156766/2016@CLEARED ONLINE,,,,,,,
80,CT2187,BSC70-28_VezzupalleUSO_CT2187B,2G+3G,HUW,102_0141_VezzupalleUSO_CT2187B,13.29353,79.20853,Rural,Vezzupalle,Gangadhara Nellore,,OD Plinth,5420.0,"SY.NO:391/1 2 3 & 4 NEAR LAND LORD HOUSE,Vezzupalle,Chittor Dist,Andhra Pradesh-517167",Chittoor,CHITTOOR,517125.0,NBSNL,BSNL Infra,CT2187,GBT,40.0,34.0,Dual,XAHT,Nortel,USO,9/30/2008,BTS18K_OD,3.0,3-3-3,110/200/270,,DMW,,,NEW NEC(HFCL),0.6 m,BSC60-13_GDNellore_CT2046A,E1,1.0,,60.0,Tirupati,VII +,4/8/2017,110/200/270,RRH,3.0,34.0,Dual,MOBI (MD2F&3F-65-17&17DE10&8-2015),DMW,,,30 Mbps,NEW NEC,0.6 m,CT2046,FE,,Tiruapti,20Mbps,102.0,,,,,,,,,,,2016827307@G/FXW/HYD/3504388/2016@K-19012/G/FVC/HYD/1982154/2013-CFA DT 19/12/16,,30 Mbps,,,,,
81,CT2188,BSC70-43_VRKuppam_CT2188B,2G,,,13.21134,79.38624,Rural,VRKuppam,Palasamudram,,Shelter,5432.0,"VRKuppam(V)pala samudram (M),Chittoor DT.",Tirupati,PUTTUR,517419.0,NBSNL,BSNL Infra,CT2188,GBT,40.0,38.0,Dual,XAHT,Nortel,IV.5,10/17/2008,BTS18K_ID,3.0,4-4-4,120/180/240,1.0,OFC,E1,,,,,,,,67.0,Tirupati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
82,CT2218,BSC70-83_Adivibaduguru_CT2218A,2G+3G,HUW,102_0178_Adivibaduguru_CT2218B,12.65496,78.43869,Rural,Adavibuduguru,kuppam,,Room,5427.0,"Adivibaduguru,kuppam(M),Chittoor DT.",Tirupati,KUPPAM,517425.0,BSNL,BSNL Infra,CT2218,GBT,40.0,35.0,Dual,Agisson,Nortel,V.1,12/31/2010,S12K_ID,3.0,4-4-4,20/100/290,1.0,OFC,E1,,,,,,,,70.0,Tirupati,VII +,5/23/2017,20/100/290,ID,3.0,35.0,Dual,Agisson,OFC,FE,,45 Mbps,,,,,,Tiruapti,,102.0,,,,,,,,,,,,,45 Mbps,,,STD,,
83,CT2219,BSC68-08_Alathur_CT2219B,2G,,,13.7438,79.82375,Rural,Annur,Buchinaidu Kandriga,,Exchange,5380.0,"Alathur tele.exge,BuchnaiduKandriga,CTR,Chittoor DT.",Tirupati,SRI KALAHASTHI,517640.0,BSNL,BSNL Infra,CT2219,GBT,40.0,37.0,Dual,AGISSON,Nortel,V.1,3/27/2010,S8K_ID,3.0,4-4-4,60/240/330,1.0,OFC,E1,,,,,,,,67.0,Tirupati,,,,,,,,,,,,,,,,,,,,,,,,,,,,CT2219,,,,,,0.0,,,,
84,CT2221,BSC70-04_Annur_CT2221B,2G,,,13.36622,79.41321,Rural,Annur,Karvetinagar,NH,OD Plinth,5408.0,"Annur,karvetinagar mandal,Chittoor DT.",Tirupati,PUTTUR,517582.0,NBSNL,BSNL Infra,CT2221,GBT,40.0,37.0,Dual,AGISSON,Nortel,V.1,7/7/2010,BTS18K_OD,3.0,4-4-4,340/200/270,1.0,OFC,E1,,,,,,,,67.0,Tirupati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,CT2222,BSC68-42_BKpalli_CT2222B,2G,,,13.62144,78.27599,Rural,Badikayalapalli,B.Kothakota,,Room,5391.0,"BSNL Tower, Badikayalapalli Village, Bkothakota(M) Chittoor district,AP-517370.",Chittoor,B.KOTHAKOTA,517370.0,NBSNL,BSNL Infra,CT2222,GBT,40.0,35.0,Dual,Agisson,Nortel,V.1,2/3/2011,BTS18K_ID,3.0,4-4-4,70/190/270,1.0,OFC,E1,,,,,,,,68.0,Tirupati,,,,,,,,,,,,,,,,,,,,,,,,,,,,CT2222,,,,,,0.0,,,,
