SR.NO,RPID,SITE_NAME_3G,SITE_NAME_2G,TECHNOLOGY,3G_TECH,LATITUDE,LONGITUDE,DHQ,DHQ_NAME,Mandal,ROUT,SHELTER,Mandal_Code,Address,MP_CONS,SDCA,PIN_CODE,BSNL_IP,IP_NAME,IP_ID,Tower_Type,2G_Tower_HT,2G_ Ant_HT,2G_Ant,2G_Ant_Make,2G_BTS,2G_Phase,2G_Commission,2G_Type,2G_SEC,2G_Conf,2G_Azimuth,2G_E1_NO,2G_Media,2G_OFC_E1,2G_FE_BW,2G_DMW,2G_DMW_Ant_DIA,2G_Far_end_RPID,2G_DMW_E1_FE,2G_DMW_E1_NO,2G_DMW_FE_BW,BSC,2G_MSC,3G_PH,3G_Commission,3G_Azimuth,3G_ID,3G_SEC,3G_ANT_HT,3G_ANT_TYPE,Field52,3G_MEDIA,3G_OFC_FE,3G_E1_NO,3G_FE_BW,3G_DMW,3G_DMW_DIA,3G_FAR_RPID,3G_E1_FE,Field61,3G_MSC,Field62,RNC,NSN_2G,NSN_3G,NSN_NEW_3G,NSN_4G,HUW_REDP,NSN_NEW_2G,NOR_IV5,NOR_IV,3G_HUW_FROM,3G_HUW_FROM_TYPE,DMW_SACFA,WORK_C,BW,BSC_PORT,WORK_2G,TOWN,WORK_2G1,TOWN1
33,CT2202,346_5943_Yogimallavaram_CT2202A,504_40461_Yogimallavaram_CT2202,2G+3G,ZTE,13.60672,79.43894,DHQ,Tirupati,Tirupati (Rural),NH,Shelter,5375.0,"PLOT NO:10,TELECOMCOLONY,YOGIMALLAVARAM,TPT,Chittoor DT.",Tirupati,CHANDRAGIRI,517503.0,NBSNL,BSNL Infra,CT2202,RTT,15.0,19.0,Dual,Agisson,NSN,V.1,12/8/2012,S12K_ID,3.0,4-4-4,25/100/270,,DMW,,,NEW NEC,0.6 m,BSC58-45_Padmavatipurm_CT2022A,E1,1.0,,58.0,Tirupati,V.1,7/25/2013,25/100/270,RRH,3.0,19.0,Dual,Agisson,DMW,,,100 Mbps,NEW NEC,0.6 m,CT2022,FE,,Tiruapti,100 Mbps,346.0,CT2202,,,,,,,,,,G/FVC/HYD/1466308/2011,,100 Mbps,504,"120718-YES-(DMW,FE+TRP-MADM+PE2(2-2-31))",TRP,,
34,CT2203,346_5944_KarakambadiRoad_ATC_CT2203A,504_40471_KarakambadiRd_ATC_CT2203,2G+3G,ZTE,13.64835,79.45063,DHQ,Tirupati,Tirupati (Rural),SH,Shelter,5375.0,K. NADAMUNI NAIDU; S/O. LATE GANGUKA NAIDU; H.NO.1-49; TIMMINAIDUPALEM; AKKARAMPALLI; TPT;,Tirupati,CHANDRAGIRI,517520.0,IP-ATC,ATC,AP/CH/BS/0180,GBT,40.0,30.0,Dual,Agisson,NSN,V.1,10/21/2011,S12K_ID,3.0,4-4-4,60/200/270,,DMW,,,NEW NEC,0.6 m,BSC58-18_TirpatiMainEx_CT2072A,E1,1.0,,58.0,Tirupati,V.1,11/6/2013,60/200/270,RRH,3.0,30.0,Dual,Agisson,DMW,,,100 Mbps,NEW NEC,0.6 m,CT2072,FE,,Tiruapti,100 Mbps,346.0,CT2203,,,,,,,,,,G/FVC/HYD/1598185/2011,,100 Mbps,504,"210718-YES-(DMW,E1+TRP-MADM+CAR-STM)",TRP,,
35,CT2204,346_5945_TPT_SVIMS_CT2204A,504_40481_SVIMS-2_CT2204,2G+3G,ZTE,13.63761,79.40414,DHQ,Tirupati,Tirupati (Urban),,Room,5383.0,"TRP-SVIMS-2,room no:18,SvIMS Hospital,tirupati,Chittoor DT.",Tirupati,CHANDRAGIRI,517507.0,NBSNL,BSNL Infra,CT2204,RTT,15.0,22.0,Tri,Agisson,NSN,V.1,10/31/2010,BTS18K_ID,3.0,4-4-4,320/140/220,,OFC,,,,,,,,,58.0,Tirupati,V.1,12/11/2010,320/140/220,RRH,3.0,22.0,TRI,Agisson,,,,100 Mbps,,,,FE,,Tiruapti,100 Mbps,346.0,CT2204,,,,,,CT2204,,,,G/FVC/HYD/1466302/2011,,100 Mbps,504,180718-YES-(E1+TRP-MADM+CAR-STM),TRP,,
36,CT2205,346_6018_Tumalgunta_ATC_CT2205A,504_40491_Tummalagunta_ATC_CT2205,2G+3G,ZTE,13.61427,79.38858,DHQ,Tirupati,Tirupati (Rural),RC,Shelter,5375.0,"Nalanda Nagar, Tummalagunta Perur Rd, Tummalagunta, Tirupati, Chittoor, Andhra Pradesh 517502",Tirupati,CHANDRAGIRI,517502.0,IP-ATC,ATC,AP2036,RTP,9.0,21.0,Dual,Agisson,NSN,V.1,12/15/2011,S12K_ID,3.0,4-4-4,90/270/335,,DMW,,,NEW NEC,0.6 m,BSC58-14_Pudipatla_CT2302A,E1,1.0,,58.0,Tirupati,V.1,9/23/2016,90/270/335,RRH,3.0,21.0,Dual,Agisson,DMW,,,100 Mbps,NEW NEC,0.6 m,CT2302,FE,,Tiruapti,70 Mbps,346.0,CT2205,,,,,,,,,,2015812085@G/FXW/HYD/3156688/2016@K-19012-G/FVC/HYD2891034/2015-CFA DTD 9-12-16,,100 Mbps,504,240718-YES-(E1+TRP-MADM+CAR-STM),TRP,,
37,CT2252,346_5952_CTR_MaruthiNagar_TV_CT2252A,504_40591_MarutiNgr_TV_CT2252,2G+3G,ZTE,13.63689,79.43121,DHQ,Tirupati,Tirupati (Urban),,Shelter,5383.0,Korlakunta Tirupati Chittoor Dist,Tirupati,CHANDRAGIRI,517501.0,IP-TV,Tower Vision,TAAPCHI0211,RTT,15.0,24.0,Dual,MOBI (MB2F&3F-65-17&17DE10&8-2015),NSN,V.1,4/19/2012,S12K_ID,3.0,4-4-4,40/140/240,,DMW,,,NEW NEC,0.6 m,BSC58-18_TirpatiMainEx_CT2072A,E1,1.0,,58.0,Tirupati,V.1,12/2/2013,40/140/240,RRH,3.0,24.0,Dual,MOBI (MD2F&3F-65-17&17DE10&8-2015),DMW,,,100 Mbps,NEW NEC,0.6 m,CT2072,FE,,Tiruapti,100 Mbps,346.0,CT2252,,,,,,,,,,2015812068@G/FVC/HYD/3156687/2016@CLEARED ONLINE,,100 Mbps,504,"170718-YES-(DMW,E1+TRP-MADM+CAR-STM)",TRP,,
38,CT2276,346_4772_Peddamandyam_CT2276A,BSC68-86_Peddamandyam_CT2276C,2G+3G,ZTE,13.9247,78.5401,Rural,Peddamandyam,Peddamandyam,,Room,5369.0,"Peddamandyam(VM),Chittoor DT.",Rajampet,MADANAPALLI,517297.0,NBSNL,BSNL Infra,CT2276,GBT,40.0,37.0,Dual,AGISSON,Nortel,V.1,10/26/2010,S12K_ID,3.0,4-4-4,110/240/330,1.0,OFC,E1,,,,,,,,68.0,Tirupati,VII,7/23/2014,110/240/330,ID,3.0,37.0,Dual,Agisson,OFC,FE,,100 Mbps,,,,,,Tiruapti,,346.0,,,,,,,,CT2276,,,,,100 Mbps,0,,,,
39,CT2300,346_5953_Ruya_CT2300B,504_40661_Ruya_CT2300,2G+3G,ZTE,13.64433,79.40616,DHQ,Tirupati,Tirupati (Urban),SH,Room,5383.0,"TRP_Ruya,Tirupati,Chittoor DT.",Tirupati,CHANDRAGIRI,517507.0,NBSNL,BSNL Infra,CT2300,RTP,6.0,16.0,Dual,MOBI (MB2F&3F-65-17&17DE10&8-2015),NSN,IV.5,4/30/2009,BTS6K_OD_AC,3.0,2-2-2,100/220/330,1.0,OFC,E1,,,,,,,,58.0,Tirupati,VII,7/4/2014,100/220/330,RRH,3.0,16.0,Dual,MOBI (MD2F&3F-65-17&17DE10&8-2015),OFC,Optical,,100 Mbps,,,,,,Tiruapti,,346.0,CT2300,,,,,,CT2300,,,,,,100 Mbps,504,190718-YES-(E1+TRP-MADM+CAR-STM),TRP,,
40,CT2302,346_5955_Pudipatla_CT2302A,504_40671_Pudipatla_CT2302,2G+3G,ZTE,13.613879,79.3615,DHQ,Pudipatla,Tirupati (Rural),RC,Shelter,5375.0,"Pudipatla,Tirupati Rural.",Tirupati,CHANDRAGIRI,517505.0,NBSNL,BSNL Infra,CT2302,GBT,40.0,37.0,Dual,Agisson,NSN,V.1,10/21/2011,BTS18K_ID,3.0,4-4-4,20/180/240,1.0,OFC,E1,,,,,,,,58.0,Tirupati,V.1,11/6/2013,20/180/240,RRH,3.0,37.0,Dual,Agisson,OFC,FE,,100 Mbps,,,,,,Tiruapti,,346.0,CT2302,,,,,,CT2302,,,,,,100 Mbps,504,"220718-YES-(DMW,E1+TRP-MADM+CAR-STM)",TRP,,
41,CT2310,346_3505_Angallu_CT2310A,BSC68-20_Angallu_CT2310A,2G+3G,ZTE,13.62996,78.48533,Rural,Angallu,Kurabalakota,SH,Room,5389.0,"Angallu, Chittoor Dt",Tirupati,MADANAPALLI,517325.0,NBSNL,BSNL Infra,CT2310,RTP,9.0,21.0,Dual,MOBI (MB2F&3F-65-17&17DE10&8-2015),Nortel,V.1,1/22/2013,S8K_ID,3.0,4-4-4,50/180/300,1.0,OFC,E1,,,,,,,,68.0,Tirupati,VII,7/23/2014,50/180/300,ID,3.0,21.0,Dual,MOBI (MD2F&3F-65-17&17DE10&8-2015),OFC,FE,,100 Mbps,,,,,,Tiruapti,,346.0,,,,,,,,CT2310,,,,,100 Mbps,0,,,,
42,CT2312,346_5956_Sivajyothingr_CT2312A,504_40691_ShivaJyothiNgr_CT2312,2G+3G,ZTE,13.65113,79.42678,DHQ,Tirupati,Tirupati (Urban),SH,Room,5383.0,"Sivajyothi nagar, Tirupati",Tirupati,CHANDRAGIRI,517501.0,NBSNL,BSNL Infra,CT2312,RTP,9.0,18.0,Dual,MOBI (MB2F&3F-65-17&17DE10&8-2015),NSN,V.1,6/27/2012,S8K_ID,3.0,4-4-4,60/210/290,1.0,OFC,E1,,,,,,,,58.0,Tirupati,V.1,6/2/2014,60/210/290,RRH,3.0,18.0,Dual,MOBI (MD2F&3F-65-17&17DE10&8-2015),OFC,FE,,100 Mbps,,,,,,Tiruapti,,346.0,CT2312,,,,,,,,,,,,100 Mbps,504,"200718-YES-(DMW,E1+TRP-MADM+CAR-STM)",TRP,,
43,CT5003,346_5958_KapilaTheertham_GTL_CT5003A,504_40711_Kapilatheertham_GTL_CT5003,2G+3G,ZTE,13.64933,79.42298,DHQ,Tirupati,Tirupati (Urban),SH,Shelter,5383.0,"H.No:18-3-60/D1, SANTHI NAGAR, YALAMURI BUILDING, KD ROAD, TIRUPATHI, CHITTOOR DIST, ANDHRA PRADESH-517501",Tirupati,CHANDRAGIRI,517501.0,IP-GTL,GTL,APR/RTP/B/09379,RTP,9.0,21.0,Dual,MOBI (MB2F&3F-65-17&17DE10&8-2015),NSN,VII,8/22/2014,BTS18K_ID,3.0,4-4-4,0/140/280,1.0,OFC,E1,,,,,,,,58.0,Tirupati,VII,8/25/2014,0/140/280,RRH,3.0,21.0,Dual,MOBI (MD2F&3F-65-17&17DE10&8-2015),OFC,FE,,100 Mbps,,,,,,Tiruapti,,346.0,CT5003,,,,,,,,,,,,100 Mbps,504,"210718-YES-(DMW,E1+TRP-MADM+CAR-STM)",TRP,,
44,CT5008,346_5961_CTR_Jeevakona_VIOM_CT5008A,504_40731_Jeevakona2_VIOM_CT5008,2G+3G,ZTE,13.65152,79.43088,DHQ,Tirupati,Tirupati (Urban),,Shelter,5383.0,"B. Gangadharam, S/O Pichanna, H.NO 8-377A Sai Nagar, Satyanarayanapuram, Tirupati.",Tirupati,CHANDRAGIRI,517501.0,IP-VIOM,VIOM Networks,ANPQRL0050,RTT,18.0,24.0,Dual,MOBI (MB2F&3F-65-17&17DE10&8-2015),NSN,VII,4/1/2013,S12K_ID,3.0,4-4-4,45/140/280,1.0,OFC,E1,,,,,,,,58.0,Tirupati,VII,12/18/2013,45/140/280,RRH,3.0,24.0,Dual,MOBI (MD2F&3F-65-17&17DE10&8-2015),OFC,FE,,100 Mbps,,,,,,Tiruapti,,346.0,CT5008,,,,,,,,,,,,100 Mbps,504,"200718-YES-(DMW,E1+TRP-MADM+CAR-STM)",TRP,,
45,CT5009,346_5962_RDO_Office_CT5009A,504_40741_RDO-Office_CT5009,2G+3G,ZTE,13.62209,79.41636,DHQ,TIRUPATI,Tirupati (Urban),SH,Shelter,5383.0,"RDO OFFICE,AIRBYPASS ROAD,TIRUPATI",Tirupati,CHANDRAGIRI,517501.0,NBSNL,BSNL Infra,CT5009,RTT,12.0,18.0,Dual,MOBI (MB2F&3F-65-17&17DE10&8-2015),NSN,VII,7/10/2014,S12K_ID,3.0,4-4-4,60/180/260,2.0,OFC,E1,,,,,,,,58.0,Tirupati,VII,7/15/2014,60/180/260,RRH,3.0,18.0,Dual,MOBI (MD2F&3F-65-17&17DE10&8-2015),OFC,FE,,65 Mbps,,,,,,Tiruapti,,346.0,CT5009,,,,,,,,,,,,65 Mbps,504,170718-YES-(E1+TRP-MADM+CAR-STM),TRP,,
46,CT5011,346_5963_Dasarimatam_ASD_CT5011A,504_40751_DasariMatam_ITIL_CT5011,2G+3G,ZTE,13.62699,79.42408,DHQ,Tiruapti,Tirupati (Urban),RC,Shelter,5383.0,drr lodge; beside D.R.mahal; tirupathi.;address;D.R.mahal,Tirupati,CHANDRAGIRI,517501.0,IP-ITIL,Ascend Telecom Infrastructure PVT LTD,5580,RTT,12.0,21.0,Dual,Agisson,NSN,VII,2/19/2013,S12K_ID,3.0,4-4-4,160/240/340,,DMW,,,NEW NEC,0.6 m,BSC58-21_TRP_TUDA_CT2076A,E1,1.0,,58.0,Tirupati,VII,2/24/2014,160/240/340,RRH,3.0,21.0,Dual,Agisson,DMW,,,100 Mbps,NEW NEC,0.6 m,CT2076,FE,,Tiruapti,80 Mbps,346.0,CT5011,,,,,,,,,,2015812054@G/FXW/HYD/3156686/2016@K-19012-G/FVC/HYD2891034/2015-CFA DTD 9-12-16,,100 Mbps,504,"140718-YES-(CPE,FE+TRP-MADM+PE2(2-2-31))",TRP,,
47,CT5014,346_5965_TPT_HotelChakri_GTL_CT5014A,504_40781_Hotelchakri_GTL_CT5014,2G+3G,ZTE,13.62313,79.42973,DHQ,Tirupati,Tirupati (Urban),SH,Room,5383.0,"CHAKRIE REIDENCY HOTEL #19-9-29/A,TIRUCHANUR ROAD,SANKARAMBADI CIRCLE, TIRUPATHI PIN:517501",Tirupati,CHANDRAGIRI,517503.0,IP-GTL,GTL,APR/RTP/K/15058,RTP,6.0,24.0,Dual,MOBI (MB2F&3F-65-17&17DE10&8-2015),NSN,VII,4/5/2013,BTS18K_ID,3.0,4-4-4,340/90/260,2.0,OFC,E1,,,,,,,,58.0,Tirupati,VII,8/22/2013,340/90/260,RRH,3.0,24.0,Dual,MOBI (MD2F&3F-65-17&17DE10&8-2015),OFC,FE,,100 Mbps,,,,,,Tiruapti,,346.0,CT5014,,,,,,,,,,,,100 Mbps,504,"140718-YES-(CPE,FE+TRP-MADM+PE2(2-2-31))",TRP,,
48,CT5024,346_6026_Renigunta3_CT5024A,504_40831_Renigunta3_CT5024,2G+3G,ZTE,13.63615,79.50425,E-City,Renigunta,Renigunta,RC,Room,5376.0,"Renigunta3,sq no;794near saibaba temple ,gm street,renigunta.517520",Tirupati,CHANDRAGIRI,517520.0,NBSNL,BSNL Infra,CT5024,RTP,6.0,21.0,Dual,XAHT,NSN,VII,2/17/2015,S12K_ID,3.0,4-4-4,60/220/310,,DMW,,,NEW NEC,0.6 m,BSC58-19_TRP_Renigunta_CT2023A,E1,1.0,,58.0,Tirupati,VII,7/13/2016,60/220/310,OD,3.0,21.0,Mono,MOBI (MD2F&3F-65-17&17DE10&8-2015),DMW,,,100 Mbps,NEW NEC,0.6 m,CT2023,FE,,Tiruapti,60 Mbps,346.0,CT5024,,,,,,,,,,2016949264@G/FXW/HYD/3548127/2016@K-19012/G/FVC/HYD/1982154/2013-CFA DT 19/12/16,,100 Mbps,504,"090718-YES-(DMW,FE+RENI_PTN-FX3/6+NIB-4/5+PE-GE1(2-2-19))",TRP,,
49,CT5033,346_5966_SVEnggcollege_CT5033A,504_40861_SVEnggcollege_CT5033,2G+3G,ZTE,13.65756,79.48644,DHQ,Tirupati,Tirupati (Rural),SH,Shelter,5375.0,"SV ENGG COLLEGE,KarakambadiRoad,Mangalam,Tirupati",Tirupati,CHANDRAGIRI,517501.0,NBSNL,BSNL Infra,CT5033,RTP,9.0,21.0,Dual,MOBI (MB2F&3F-65-17&17DE10&8-2015),NSN,VII,7/30/2014,BTS18K_ID,3.0,4-4-4,10/230/290,,DMW,,,NEW NEC(HFCL),0.6 m,BSC58-19_TRP_Renigunta_CT2023A,E1,1.0,,58.0,Tirupati,VII,7/28/2014,10/230/290,RRH,3.0,21.0,Dual,MOBI (MD2F&3F-65-17&17DE10&8-2015),DMW,,,100 Mbps,NEW NEC,0.6 m,CT2023,FE,,Tiruapti,60Mbps,346.0,CT5033,,,,,,CT5033,,,,2015812341@G/FXW/HYD/3156693/2016@K-19012-G/FVC/HYD2891034/2015-CFA DTD 9-12-16,,100 Mbps,504,"110718-YES-(DMW,FE+RENI_PTN-FX3/11+NIB-4/5+PE-GE1(2-2-19))",TRP,,
50,CT5034,346_6027_PVgunta_VIOM_CT5034A,504_40871_Pulivanigunta_VIOM_CT5034,2G+3G,ZTE,13.62719,79.45037,DHQ,Tirupati,Tirupati (Rural),SH,Shelter,5375.0,near h.no. 11-96/opp s.v. cotton mills road; gollavanigunta; panchsyath; area; tirupathi;address;pulivanigunta;517501,Tirupati,CHANDRAGIRI,517501.0,IP-VIOM,VIOM Networks,ANPCHI1176,GBT,40.0,40.0,Dual,MOBI (MB2F&3F-65-17&17DE10&8-2015),NSN,VII,7/25/2014,S12K_ID,3.0,4-4-4,60/170/270,,DMW,,,NEW NEC,0.6 m,BSC58-19_TRP_Renigunta_CT2023A,E1,1.0,,58.0,Tirupati,VII,8/23/2016,60/170/270,RRH,3.0,40.0,Dual,MOBI (MD2F&3F-65-17&17DE10&8-2015),DMW,,,100 Mbps,NEW NEC,0.6 m,CT2023,FE,,Tiruapti,60 Mbps,346.0,CT5034,,,,,,,,,,2015812324@G/FVC/HYD/3156692/2016@CLEARED ONLINE,,100 Mbps,504,110718-YES-(DMW+GE+CDR_PTN-FX3/7+NIB-4/5+PE-GE1(2-2-19)),TRP,,
