SR.NO,RPID,SITE_NAME_3G,SITE_NAME,TECHNOLOGY,3G_TECH,LATITUDE,LONGITUDE,DHQ,DHQ_NAME,Mandal,ROUT,SHELTER,Mandal_Code,Address,MP_CONS,SDCA,PIN_CODE,BSNL_IP,IP_NAME,IP_ID,Tower_Type,2G_Tower_HT,2G_ Ant_HT,2G_Ant,2G_Ant_Make,2G_BTS,2G_Phase,2G_Commission,2G_Type,2G_SEC,2G_Conf,2G_Azimuth,2G_E1_NO,2G_Media,2G_OFC_E1,2G_FE_BW,2G_DMW,2G_DMW_Ant_DIA,2G_Far_end_RPID,2G_DMW_E1_FE,2G_DMW_E1_NO,2G_DMW_FE_BW,BSC,2G_MSC,3G_PH,3G_Commission,3G_Azimuth,3G_ID,3G_SEC,3G_ANT_HT,3G_ANT_TYPE,Field52,3G_MEDIA,3G_OFC_FE,3G_E1_NO,3G_FE_BW,3G_DMW,3G_DMW_DIA,3G_FAR_RPID,3G_E1_FE,Field61,3G_MSC,Field62,RNC,NSN_2G,NSN_3G,NSN_NEW_3G,NSN_4G,HUW_REDP,NSN_NEW_2G,NOR_IV5,NOR_IV,3G_HUW_FROM,3G_HUW_FROM_TYPE,DMW_SACFA,WORK_C,BW,BSC_PORT,WORK_2G,TOWN,WORK_2G1,TOWN1
11,CT2068,102_0149_SADUM_CT2068A,BSC70-37_Sodam-SDCA_CT2068A,2G+3G,HUW,13.54582,78.9014,Rural,Sodam,Sodam,SH,Exchange,5394,"Sodam-SDCA,Chittoor DT.",Tirupati,SODAM,517123,BSNL,BSNL Infra,CT2068,GBT,40,35,Mono,KATHREIN,Nortel,IV,9/28/2005,S8K_ID,3,4-4-4,0/93/230,1.0,OFC,E1,,,,,,,,70,Tirupati,VII +,4/26/2017,0/93/230,ID,3.0,34.0,Mono,MOBI (MB3F-65-18DE10+MBRET-RCU-003),OFC,FE,,50 Mbps,,,,,,Tiruapti,,102.0,,,,,,,,CT2068,,,,,50 Mbps,0.0,,,,
12,CT2080,102_0160_Yadamarri_CT2080B,BSC70-06_Yadamarri_CT2080A,2G+3G,HUW,13.16133,79.03875,Rural,Yadamarri,Yadamarri,SH,Exchange,5430,"Yadamarri(V&M),Chittoor DT.",Chittoor,CHITTOOR,517422,BSNL,BSNL Infra,CT2080,GBT,40,40,Mono,HIGH WAY,Nortel,IV,1/25/2006,S8K_ID,3,4-4-4,60/205/295,,DMW,,,HUAWEI,0.6m,BSC60-27_CTR_Santhpeta_CT2004B,E1,1.0,,60,Tirupati,VII +,5/6/2017,60/205/295,ID,3.0,39.0,Mono,MOBI (MB3F-65-18DE10+MBRET-RCU-003),OFC,FE,,40 Mbps,,,,,,Tiruapti,,102.0,,,,,,,,CT2080,,,,,40 Mbps,0.0,,,,
13,CT2082,102_0150_CHOWDEPALLE_CT2082B,BSC70-24_Chowdepalle_CT2082A,2G+3G,HUW,13.43348,78.68945,Rural,Chowdepalli,Chowdepalle,SH,Exchange,5413,"Chowdepalli(V&M),Chittoor DT.",Rajampet,PUNGANUR,517357,BSNL,BSNL Infra,CT2082,GBT,40,39,Dual,XAHT,Nortel,IV,5/22/2007,BTS18K_ID,3,4-4-4,10/100/210,2.0,OFC,E1,,,,,,,,70,Tirupati,VII +,4/26/2017,10/100/210,ID,3.0,37.0,Mono,MOBI (MB3F-65-18DE10+MBRET-RCU-003),OFC,FE,,100 Mbps,,,,,,Tiruapti,,102.0,,,,,,,,,,,,,100 Mbps,,,,,
14,CT2090,102_0158_Ramapuram_CT2090B,BSC70-07_Ramapuram_CT2090A,2G+3G,HUW,13.09917,79.18397,Rural,197Ramapuram,Gudipala,,Exchange,5431,"197 Ramapuram,Chittoor DT.",Chittoor,CHITTOOR,517403,BSNL,BSNL Infra,CT2090,GBT,40,38,Dual,XAHT,Nortel,IV.5,9/18/2008,BTS18K_ID,3,4-4-4,50/190/300,1.0,OFC,E1,,,,,,,,60,Tirupati,VII +,5/4/2017,50/190/300,ID,3.0,37.0,Mono,MOBI (MB3F-65-18DE10+MBRET-RCU-003),OFC,FE,,45 Mbps,,,,,,Tiruapti,,102.0,,,,,,,,,,,,,45 Mbps,,,,,
15,CT2096,102_0173_Byreddypalli_CT2096B,BSC70-57_Byreddypalli_CT2096A,2G+3G,HUW,13.09255,78.6142,Rural,Byreddipalle,Baireddipalle,NH,Exchange,5423,"Byreddypalli(V&M),Chittoor DT.",Chittoor,PALMANER,517415,BSNL,BSNL Infra,CT2096,GBT,40,34,Mono,HIGH WAY,Nortel,IV,2/12/2007,S8K_ID,3,4-4-4,75/250/350,1.0,OFC,E1,,,,,,,,70,Tirupati,VII +,5/25/2017,75/250/350,ID,3.0,32.0,Mono,MOBI (MB3F-65-18DE10+MBRET-RCU-003),OFC,FE,,100 Mbps,,,,,,Tiruapti,,102.0,,,,,,,,CT2096,,,,,100 Mbps,0.0,,,,
16,CT2115,102_01993_KVB_Puram_CT2115,BSC68-17_KVBPuram_CT2115B,2G+3G,HUW,13.53097,79.7388,Rural,KVBPuram,K.V.B.Puram,SH,Exchange,5382,"KVBPuram(V&M),Chittoor DT.",Tirupati,SRI KALAHASTHI,517643,BSNL,BSNL Infra,CT2115,GBT,40,38,Dual,Agisson,Nortel,IV.5,9/12/2008,BTS18K_ID,3,4-4-4,10/190/280,1.0,OFC,E1,,,,,,,,67,Tirupati,VIII.4,12/31/2019,,RRH,,,,,OFC,FE,,,,,,,,,,102.0,,,,,,,,,,,,,,0.0,,,,
17,CT2117,102_0155_Kalakada_CT2117B,BSC68-54_Kalakada_CT2117B,2G+3G,HUW,13.82792,78.79076,Rural,Kalakada,Kalakada,NH,Exchange,5371,"Kalakada(V&M),Chittoor DT.",Rajampet,VAYALPADU,517236,BSNL,BSNL Infra,CT2117,GBT,40,39,Dual,XAHT,Nortel,IV.5,9/8/2008,BTS18K_ID,3,4-4-4,0/170/230,1.0,OFC,E1,,,,,,,,68,Tirupati,VII +,5/12/2017,0/170/230,ID,3.0,37.0,Mono,MOBI (MB3F-65-18DE10+MBRET-RCU-003),OFC,FE,,45 Mbps,,,,,,Tiruapti,,102.0,,,,,,,,,,,,,45 Mbps,,,,,
18,CT2121,102_0127_Kalluru_CT2121B,BSC68-50_Kalluru_CT2121A,2G+3G,HUW,13.55863,78.99621,Rural,Kalluru,Pulicherla,NH,Exchange,5395,"Kalluru (V),Chittoor dt.",Chittoor,PAKALA,517113,NBSNL,BSNL Infra,CT2121,GBT,40,37,Dual,XAHT,Nortel,IV.5,2/17/2009,BTS18K_OD,3,4-4-4,40/140/260,1.0,OFC,E1,,,,,,,,60,Tirupati,VII +,3/9/2017,40/140/260,OD,3.0,36.0,Dual,MOBI (MD2F&3F-65-17&17DE10&8-2015),OFC,FE,,100 Mbps,,,,,,Tiruapti,,102.0,,,,,,,,,,,,,100 Mbps,,,,,
19,CT2125,102_0156_Kanduru_CT2125A,BSC70-59_Kanduru-USO_CT2125A,2G+3G,HUW,13.56297,78.77432,Rural,Kandur,Somala,,OD Plinth,5412,"Kanduru(V),Somla(M),Chittoor DT.",Rajampet,PILER,517224,NBSNL,BSNL Infra,CT2125,GBT,40,34,Dual,XAHT,Nortel,USO,11/25/2008,BTS18K_OD,3,3-3-3,50/120/210,1.0,OFC,E1,,,,,,,,70,Tirupati,VII +,5/1/2017,50/120/210,RRH,3.0,34.0,Mono,MOBI (MB3F-65-18DE10+MBRET-RCU-003),OFC,FE,,30 Mbps,,,,,,Tiruapti,,102.0,,,,,,,,,,,,,30 Mbps,,,,,
20,CT2127,102_0112_Kavetigaripalli_CT2127B,BSC68-51_K_GaripaliUSO_CT2127B,2G+3G,HUW,13.53136,79.0834,Rural,Kavetigaripalle,Pulicherla,,OD Plinth,5395,"USO Tower, KavetiGaripalli_USO, Pulicherla(M), Chittor dist, AP-517152.",Chittoor,PAKALA,517172,NBSNL,BSNL Infra,CT2127,GBT,40,34,Dual,XAHT,Nortel,USO,8/31/2008,BTS18K_OD,3,3-3-3,90/200/330,1.0,OFC,E1,,,,,,,,60,Tirupati,VII +,3/1/2017,90/200/330,OD,3.0,34.0,Dual,MOBI (MD2F&3F-65-17&17DE10&8-2015),OFC,FE,,60 Mbps,,,,,,Tiruapti,,102.0,,,,,,,,,,,,,60 Mbps,,,,,
21,CT2132,102_0122_Kurabalakota_CT2132B,BSC68-62_Kurabalakota_CT2132B,2G+3G,HUW,13.64649,78.48294,Rural,Kurabalakota,Kurabalakota,SH,Exchange,5389,"No 7-3, jangalavari palli , kurabalakota ,Kurabalakota(V&M),Chittoor DT.-517350",Rajampet,MADANAPALLI,517351,BSNL,BSNL Infra,CT2132,GBT,40,39,Dual,XAHT,Nortel,IV.5,9/18/2008,BTS18K_ID,3,4-4-4,10/150/270,1.0,OFC,E1,,,,,,,,68,Tirupati,VII +,3/7/2017,10/150/270,ID,3.0,38.0,Dual,MOBI (MD2F&3F-65-17&17DE10&8-2015),OFC,FE,,100 Mbps,,,,,,Tiruapti,,102.0,,,,,,,,,,,,,100 Mbps,,,,,
22,CT2139,102_0167_CT_Madireddypalle_USO_CT2139,BSC70-01_MReddypaleUSO_CT2139B,2G+3G,HUW,13.15161,78.99599,Rural,Madireddipalle,Yadamarri,,OD Plinth,5430,"USO TOWER, MADIREDDIPALLE, CHITTOOR DIST,AP-517422",Chittoor,CHITTOOR,517422,NBSNL,BSNL Infra,CT2139,GBT,40,34,Dual,XAHT,Nortel,USO,10/20/2008,BTS18K_OD,3,2-2-2,25/105/182,,DMW,,,NEW NEC(HFCL),0.6 m,BSC60-06_Yadamarri_CT2080A,E1,1.0,,60,Tirupati,VIII,,,RRH,,,,,DMW,E1,,30 Mbps,,,,,,,,102.0,,,,,CT2139,,,,BSC60-14_Kukalple_VIOM_CT5022A,RRH,2015812396@G/FXW/HYD/3156698/2016@K-19012-G/FVC/HYD2891034/2015-CFA DTD 9-12-16,,30 Mbps,,,,,
23,CT2145,102_0168_CT_Nampalle-USO_CT2145,BSC70-05_Nampalle-USO_CT2145B,2G+3G,HUW,13.41246,79.00166,Rural,Nampalle,Irala,,OD Plinth,5411,"Nampalle_USO,IRALA(M),Chittoor DT.",Chittoor,BANGARUPALYAM,517130,NBSNL,BSNL Infra,CT2145,GBT,40,34,Dual,XAHT,Nortel,USO,10/20/2008,BTS18K_OD,3,3-3-3,30/120/220,1.0,OFC,E1,,,,,,,,70,Tirupati,VIII,,,RRH,,,,,,,,45 Mbps,,,,,,,,102.0,,,,,CT2145,,,,BSC60-41_ThenepaliVIOM_CT5019B,RRH,,,45 Mbps,0.0,,,,
